stim,A50,A150,A250,A350,A450,B550,B650,B750,B850,B950,C1050,C1150,C1250,C1350,C1450
A50,1,0.738095238,0.450980392,0.266666667,0.188888889,0.05952381,0.083333333,0.095238095,0.033333333,0.046296296,0.051282051,0.011111111,0.011111111,0,0.011111111
A150,0.738095238,1,0.807692308,0.602564103,0.5,0.287878788,0.261904762,0.294871795,0.180555556,0.149122807,0.152777778,0.166666667,0.152777778,0.055555556,0.072916667
A250,0.450980392,0.807692308,1,0.833333333,0.630952381,0.512820513,0.416666667,0.364583333,0.3,0.288888889,0.269230769,0.222222222,0.145833333,0.130952381,0.178571429
A350,0.266666667,0.602564103,0.833333333,1,0.852941176,0.655555556,0.538461538,0.448717949,0.344444444,0.341666667,0.357142857,0.3125,0.233333333,0.208333333,0.2
A450,0.188888889,0.5,0.630952381,0.852941176,1,0.861111111,0.677083333,0.605263158,0.520833333,0.407407407,0.318181818,0.289473684,0.333333333,0.254901961,0.244444444
B550,0.05952381,0.287878788,0.512820513,0.655555556,0.861111111,1,0.852941176,0.75,0.568627451,0.49122807,0.522222222,0.40625,0.403508772,0.342105263,0.284313725
B650,0.083333333,0.261904762,0.416666667,0.538461538,0.677083333,0.852941176,1,0.907407407,0.754901961,0.658333333,0.566666667,0.50877193,0.479166667,0.45,0.342105263
B750,0.095238095,0.294871795,0.364583333,0.448717949,0.605263158,0.75,0.907407407,1,0.931372549,0.770833333,0.607142857,0.62962963,0.570175439,0.511111111,0.476190476
B850,0.033333333,0.180555556,0.3,0.344444444,0.520833333,0.568627451,0.754901961,0.931372549,1,0.903508772,0.861111111,0.676470588,0.583333333,0.595238095,0.490196078
B950,0.046296296,0.149122807,0.288888889,0.341666667,0.407407407,0.49122807,0.658333333,0.770833333,0.903508772,1,0.948717949,0.833333333,0.733333333,0.692307692,0.607142857
C1050,0.051282051,0.152777778,0.269230769,0.357142857,0.318181818,0.522222222,0.566666667,0.607142857,0.861111111,0.948717949,1,0.947368421,0.844444444,0.791666667,0.6875
C1150,0.011111111,0.166666667,0.222222222,0.3125,0.289473684,0.40625,0.50877193,0.62962963,0.676470588,0.833333333,0.947368421,1,0.892857143,0.80952381,0.729166667
C1250,0.011111111,0.152777778,0.145833333,0.233333333,0.333333333,0.403508772,0.479166667,0.570175439,0.583333333,0.733333333,0.844444444,0.892857143,1,0.911111111,0.797619048
C1350,0,0.055555556,0.130952381,0.208333333,0.254901961,0.342105263,0.45,0.511111111,0.595238095,0.692307692,0.791666667,0.80952381,0.911111111,1,0.916666667
C1450,0.011111111,0.072916667,0.178571429,0.2,0.244444444,0.284313725,0.342105263,0.476190476,0.490196078,0.607142857,0.6875,0.729166667,0.797619048,0.916666667,1
